time,from,to,value
121.00,c1.out_0,c2.in_0,0
121.00,c1.out_0,c2.in_0,0
121.00,c2.out_1,c3.in_0,0
122.00,c2.out_1,c3.in_0,0
122.00,c1.out_0,c2.in_0,0
122.00,c1.out_0,c2.in_0,0
122.00,c2.out_1,c3.in_0,0
123.00,c2.out_1,c3.in_0,1
123.00,c1.out_0,c2.in_0,1
123.00,c1.out_0,c2.in_0,1
123.00,c2.out_1,c3.in_0,1
124.00,c2.out_1,c3.in_0,0
124.00,c1.out_0,c2.in_0,0
124.00,c1.out_0,c2.in_0,0
124.00,c2.out_1,c3.in_0,0
125.00,c2.out_1,c3.in_0,0
125.00,c1.out_0,c2.in_0,0
125.00,c1.out_0,c2.in_0,0
125.00,c2.out_1,c3.in_0,0
126.00,c2.out_1,c3.in_0,0
126.00,c1.out_0,c2.in_0,0
126.00,c1.out_0,c2.in_0,0
126.00,c2.out_1,c3.in_0,0
127.00,c2.out_1,c3.in_0,1
127.00,c1.out_0,c2.in_0,1
127.00,c1.out_0,c2.in_0,1
127.00,c2.out_1,c3.in_0,1
128.00,c2.out_1,c3.in_0,0
128.00,c1.out_0,c2.in_0,0
128.00,c1.out_0,c2.in_0,0
128.00,c2.out_1,c3.in_0,0
129.00,c2.out_1,c3.in_0,0
129.00,c1.out_0,c2.in_0,0
129.00,c1.out_0,c2.in_0,0
129.00,c2.out_1,c3.in_0,0
130.00,c2.out_1,c3.in_0,0
130.00,c1.out_0,c2.in_0,0
130.00,c1.out_0,c2.in_0,0
130.00,c2.out_1,c3.in_0,0
131.00,c2.out_1,c3.in_0,0
131.00,c1.out_0,c2.in_0,0
131.00,c1.out_0,c2.in_0,0
131.00,c2.out_1,c3.in_0,0
132.00,c2.out_1,c3.in_0,0
132.00,c1.out_0,c2.in_0,0
132.00,c1.out_0,c2.in_0,0
132.00,c2.out_1,c3.in_0,0
133.00,c2.out_1,c3.in_0,1
133.00,c1.out_0,c2.in_0,1
133.00,c1.out_0,c2.in_0,1
133.00,c2.out_1,c3.in_0,1
134.00,c2.out_1,c3.in_0,0
134.00,c1.out_0,c2.in_0,0
134.00,c1.out_0,c2.in_0,0
134.00,c2.out_1,c3.in_0,0
135.00,c2.out_1,c3.in_0,1
135.00,c1.out_0,c2.in_0,1
135.00,c1.out_0,c2.in_0,1
135.00,c2.out_1,c3.in_0,1
136.00,c2.out_1,c3.in_0,0
136.00,c1.out_0,c2.in_0,0
136.00,c1.out_0,c2.in_0,0
136.00,c2.out_1,c3.in_0,0
137.00,c2.out_1,c3.in_0,0
137.00,c1.out_0,c2.in_0,0
137.00,c1.out_0,c2.in_0,0
137.00,c2.out_1,c3.in_0,0
138.00,c2.out_1,c3.in_0,0
138.00,c1.out_0,c2.in_0,0
138.00,c1.out_0,c2.in_0,0
138.00,c2.out_1,c3.in_0,0
139.00,c2.out_1,c3.in_0,0
139.00,c1.out_0,c2.in_0,0
139.00,c1.out_0,c2.in_0,0
139.00,c2.out_1,c3.in_0,0
140.00,c2.out_1,c3.in_0,1
140.00,c1.out_0,c2.in_0,1
140.00,c1.out_0,c2.in_0,1
140.00,c2.out_1,c3.in_0,1
141.00,c2.out_1,c3.in_0,0
141.00,c1.out_0,c2.in_0,0
141.00,c1.out_0,c2.in_0,0
141.00,c2.out_1,c3.in_0,0
142.00,c2.out_1,c3.in_0,1
142.00,c1.out_0,c2.in_0,1
142.00,c1.out_0,c2.in_0,1
142.00,c2.out_1,c3.in_0,1
143.00,c2.out_1,c3.in_0,0
143.00,c1.out_0,c2.in_0,0
143.00,c1.out_0,c2.in_0,0
143.00,c2.out_1,c3.in_0,0
144.00,c2.out_1,c3.in_0,1
144.00,c1.out_0,c2.in_0,1
144.00,c1.out_0,c2.in_0,1
144.00,c2.out_1,c3.in_0,1
145.00,c2.out_1,c3.in_0,1
145.00,c1.out_0,c2.in_0,1
145.00,c1.out_0,c2.in_0,1
145.00,c2.out_1,c3.in_0,1
146.00,c2.out_1,c3.in_0,0
146.00,c1.out_0,c2.in_0,0
146.00,c1.out_0,c2.in_0,0
146.00,c2.out_1,c3.in_0,0
147.00,c2.out_1,c3.in_0,1
147.00,c1.out_0,c2.in_0,1
147.00,c1.out_0,c2.in_0,1
147.00,c2.out_1,c3.in_0,1
148.00,c2.out_1,c3.in_0,0
148.00,c1.out_0,c2.in_0,0
148.00,c1.out_0,c2.in_0,0
148.00,c2.out_1,c3.in_0,0
149.00,c2.out_1,c3.in_0,1
149.00,c1.out_0,c2.in_0,1
149.00,c1.out_0,c2.in_0,1
149.00,c2.out_1,c3.in_0,1
150.00,c2.out_1,c3.in_0,0
150.00,c1.out_0,c2.in_0,0
150.00,c1.out_0,c2.in_0,0
150.00,c2.out_1,c3.in_0,0
151.00,c2.out_1,c3.in_0,0
151.00,c1.out_0,c2.in_0,0
151.00,c1.out_0,c2.in_0,0
151.00,c2.out_1,c3.in_0,0
152.00,c2.out_1,c3.in_0,1
152.00,c1.out_0,c2.in_0,1
152.00,c1.out_0,c2.in_0,1
152.00,c2.out_1,c3.in_0,1
153.00,c2.out_1,c3.in_0,0
153.00,c1.out_0,c2.in_0,0
153.00,c1.out_0,c2.in_0,0
153.00,c2.out_1,c3.in_0,0
154.00,c2.out_1,c3.in_0,0
154.00,c1.out_0,c2.in_0,0
154.00,c1.out_0,c2.in_0,0
154.00,c2.out_1,c3.in_0,0
155.00,c2.out_1,c3.in_0,1
155.00,c1.out_0,c2.in_0,1
155.00,c1.out_0,c2.in_0,1
155.00,c2.out_1,c3.in_0,1
156.00,c2.out_1,c3.in_0,1
156.00,c1.out_0,c2.in_0,1
156.00,c1.out_0,c2.in_0,1
156.00,c2.out_1,c3.in_0,1
157.00,c2.out_1,c3.in_0,0
157.00,c1.out_0,c2.in_0,0
157.00,c1.out_0,c2.in_0,0
157.00,c2.out_1,c3.in_0,0
158.00,c2.out_1,c3.in_0,1
158.00,c1.out_0,c2.in_0,1
158.00,c1.out_0,c2.in_0,1
158.00,c2.out_1,c3.in_0,1
159.00,c2.out_1,c3.in_0,0
159.00,c1.out_0,c2.in_0,0
159.00,c1.out_0,c2.in_0,0
159.00,c2.out_1,c3.in_0,0
160.00,c2.out_1,c3.in_0,1
160.00,c1.out_0,c2.in_0,1
160.00,c1.out_0,c2.in_0,1
160.00,c2.out_1,c3.in_0,1
161.00,c2.out_1,c3.in_0,0
161.00,c1.out_0,c2.in_0,0
161.00,c1.out_0,c2.in_0,0
161.00,c2.out_1,c3.in_0,0
162.00,c2.out_1,c3.in_0,0
162.00,c1.out_0,c2.in_0,0
162.00,c1.out_0,c2.in_0,0
162.00,c2.out_1,c3.in_0,0
163.00,c2.out_1,c3.in_0,0
163.00,c1.out_0,c2.in_0,0
163.00,c1.out_0,c2.in_0,0
163.00,c2.out_1,c3.in_0,0
164.00,c2.out_1,c3.in_0,1
164.00,c1.out_0,c2.in_0,1
164.00,c1.out_0,c2.in_0,1
164.00,c2.out_1,c3.in_0,1
165.00,c2.out_1,c3.in_0,0
165.00,c1.out_0,c2.in_0,0
165.00,c1.out_0,c2.in_0,0
165.00,c2.out_1,c3.in_0,0
166.00,c2.out_1,c3.in_0,0
166.00,c1.out_0,c2.in_0,0
166.00,c1.out_0,c2.in_0,0
166.00,c2.out_1,c3.in_0,0
167.00,c2.out_1,c3.in_0,1
167.00,c1.out_0,c2.in_0,1
167.00,c1.out_0,c2.in_0,1
167.00,c2.out_1,c3.in_0,1
168.00,c2.out_1,c3.in_0,0
168.00,c1.out_0,c2.in_0,0
168.00,c1.out_0,c2.in_0,0
168.00,c2.out_1,c3.in_0,0
169.00,c2.out_1,c3.in_0,1
169.00,c1.out_0,c2.in_0,1
169.00,c1.out_0,c2.in_0,1
169.00,c2.out_1,c3.in_0,1
170.00,c2.out_1,c3.in_0,0
170.00,c1.out_0,c2.in_0,0
170.00,c1.out_0,c2.in_0,0
170.00,c2.out_1,c3.in_0,0
171.00,c2.out_1,c3.in_0,0
171.00,c1.out_0,c2.in_0,0
171.00,c1.out_0,c2.in_0,0
171.00,c2.out_1,c3.in_0,0
172.00,c2.out_1,c3.in_0,1
172.00,c1.out_0,c2.in_0,1
172.00,c1.out_0,c2.in_0,1
172.00,c2.out_1,c3.in_0,1
173.00,c2.out_1,c3.in_0,0
173.00,c1.out_0,c2.in_0,0
173.00,c1.out_0,c2.in_0,0
173.00,c2.out_1,c3.in_0,0
174.00,c2.out_1,c3.in_0,1
174.00,c1.out_0,c2.in_0,1
174.00,c1.out_0,c2.in_0,1
174.00,c2.out_1,c3.in_0,1
175.00,c2.out_1,c3.in_0,1
175.00,c1.out_0,c2.in_0,1
